algorithm,domain,iterations_ci_high,iterations_ci_low,iterations_mean,iterations_median,n,path_length_ci_high,path_length_ci_low,path_length_mean,path_length_median,tree_size_ci_high,tree_size_ci_low,tree_size_mean,tree_size_median
RRT,2D,839.2629647697655,828.1592352302345,833.7111,423.0,100000,35.826579506212504,35.563640493787496,35.69511,32.0,424.3844189016265,419.4889210983735,421.93667,304.0
WRRT,2D,927.7061794851339,909.844280514866,918.77523,278.0,100000,35.10869221303106,34.84906778696893,34.97888,30.0,264.503668039391,261.236111960609,262.86989,162.0
RRT,3D,877.3118262902861,754.7581737097138,816.035,688.5,200,41.23163648267101,40.188363517328995,40.71,40.0,716.1455003349108,624.0644996650892,670.105,578.5
WRRT,3D,477.8937720902208,405.4462279097792,441.67,359.0,200,39.98896900810065,38.97103099189934,39.48,39.0,369.3058245550865,322.75417544491347,346.03,300.0
